,,,,,ADT Su,"13,501","14,978","13,914","12,173","12,694","15,199","17,314","18,317","16,634","14,151","11,921","13,651","14,475"
211,LEISSIGEN (TUNNEL) (AS),,BE,A 8,ADT,"16,247","17,542","17,227","17,435","18,616","20,892","21,312","23,116","19,332","18,493","15,992","16,430","18,563"
,,,,,AWT,"16,164","17,276","17,364","17,566","18,539","20,904","21,514","23,552","18,900","18,721","16,673","16,685","18,659"
,,,,,ADT Tu-Th,"15,722","16,699","17,224","17,440","18,084","20,641","21,588","23,149","18,488","18,649","16,650","16,467","18,424"
,,,,,ADT Sa,"16,547","19,602","17,718","18,938","19,400","20,429","22,207","21,961","21,057","18,867","16,068","16,511","19,084"
,,,,,ADT Su,"16,371","16,811","16,158","15,997","18,152","21,161","19,258","22,624","19,983","16,803","13,194","15,480","17,706"
212,VUE-DES-ALPES (TUNNEL),,NE,A 20,ADT,"22,293","24,489","24,601","23,908","24,675","25,427","15,566",,,,,,
,,,,,AWT,"25,264","27,411","28,249","27,206","27,386","28,687","16,627",,,,,,
,,,,,ADT Tu-Th,"25,282","27,646","28,608","27,132","28,096","28,784","16,622",,,,,,
,,,,,ADT Sa,"17,585","19,544","19,548","20,472","21,293","21,299","14,210",,,,,,
,,,,,ADT Su,"12,989","14,829","14,334","15,207","16,672","17,315","10,816",,,,,,
214,"BERN, BRUENNENTUNNEL (AB)",,BE,A 1,ADT,"35,904","38,201","39,492","42,100","42,672","44,891","44,819","45,598","43,290","41,993","39,890","38,828","41,488"
,,,,,AWT,"37,689","39,952","41,464","44,153","44,228","45,980","46,144","47,124","43,993","43,369","42,336","40,993","43,111"
,,,,,ADT Tu-Th,"37,351","39,519","41,209","43,984","43,784","45,048","45,515","46,313","43,262","42,675","42,225","40,126","42,615"
,,,,,ADT Sa,"37,543","38,176","39,322","41,247","41,059","45,325","44,310","44,582","43,761","41,371","38,938","38,695","41,177"
,,,,,ADT Su,"26,743","29,470","31,380","35,825","37,749","40,971","37,710","41,356","38,948","34,706","31,060","31,341","34,916"
215,MUELLHEIM (AB),,TG,A 7,ADT,"16,641","18,062","18,785","19,673","19,857","19,325","18,994","19,396","19,573","19,241","19,250","18,220","18,919"
,,,,,AWT,"18,098","19,316","19,929","21,139","20,871","20,499","19,948","20,482","20,252","20,292","20,619","19,939","20,102"
,,,,,ADT Tu-Th,"18,134","19,408","20,044","21,108","20,600","20,481","20,030","20,426","20,301","20,488","20,713","19,319","20,089"
,,,,,ADT Sa,"17,626","19,064","20,481","21,914","21,193","20,996","19,927","19,978","21,648","20,303","21,159","19,702","20,361"
,,,,,ADT Su,"9,441","10,792","12,283","13,296","14,266","14,299","12,578","15,289","13,759","12,131","11,867","11,212","12,682"
216,WANGEN SZ (AB),,SZ,A 3,ADT,"38,215","43,577","45,651","45,340","43,811","47,738","45,717","48,410","46,936","45,639","41,017","39,367","44,280"
,,,,,AWT,"37,891","42,615","45,644","46,546","44,386","48,230","45,657","48,915","46,157","45,975","42,518","39,746","44,500"
,,,,,ADT Tu-Th,"37,461","40,522","44,019","46,057","43,594","46,900","44,735","47,504","44,512","44,891","42,306","38,640","43,444"
,,,,,ADT Sa,"42,414","47,356","47,562","45,916","44,388","47,472","48,094","46,662","49,378","46,454","41,220","42,657","45,733"
,,,,,ADT Su,"36,282","44,605","43,767","40,937","40,816","46,273","43,687","48,183","48,778","42,894","34,806","35,848","42,094"
217,MUENCHWILEN E (AB),,TG,A 1,ADT,"56,471","61,511","61,786","62,905","63,179","63,599","60,455","63,565","64,886","63,881","61,685","58,984","61,897"
,,,,,AWT,"58,892","62,735","64,314","65,923","65,528","66,235","62,506","66,334","65,704","65,503","64,160","61,330","64,062"
,,,,,ADT Tu-Th,"58,312","62,581","64,073","65,770","65,498","65,702","62,097","65,692","64,743","64,783","63,917","60,352","63,591"
,,,,,ADT Sa,"56,003","63,895","60,381","61,122","61,382","61,051","57,697","60,604","65,967","62,722","61,498","59,531","60,986"
,,,,,ADT Su,"46,193","53,007","52,577","54,034","55,108","56,510","51,418","56,802","59,307","55,717","51,971","50,411","53,560"
218,CRESSIER (AR),,NE,A 5,ADT,"19,511","20,902","21,756","21,974","22,669","23,389","21,008","21,440","22,842","22,048","22,220","20,206","21,660"
,,,,,AWT,"21,807","22,956","24,165","24,502","24,620","25,817","22,640","23,568","24,212","23,946","24,963","22,396","23,774"
,,,,,ADT Tu-Th,"21,955","23,077","24,350","24,478","24,783","25,901","22,743","23,594","24,636","23,997","25,233","22,335","23,890"
,,,,,ADT Sa,"17,006","18,698","19,532","20,335","20,917","21,442","18,959","19,674","21,668","19,045","19,955","19,142","19,722"
,,,,,ADT Su,"11,412","12,837","13,863","14,642","16,230","16,595","13,675","15,816","16,482","14,138","13,516","13,253","14,425"
219,SCHINZNACH DORF (AB),,AG,A 3,ADT,,,,"44,006","45,372","45,726","44,161","46,227","45,994","45,625","44,408","42,570",
,,,,,AWT,,,,"44,768","45,612","46,518","44,662","46,864","45,879","45,888","44,884","43,183",
,,,,,ADT Tu-Th,,,,"44,951","45,554","46,122","44,326","46,166","45,091","45,304","44,658","42,261",
,,,,,ADT Sa,,,,"45,767","46,914","46,506","45,233","46,676","48,917","47,294","46,683","45,760",
,,,,,ADT Su,,,,"40,294","42,819","42,566","40,206","43,729","43,704","42,443","40,226","38,297",
221,ZUERICH BRUNAU (AB),,ZH,A 3,ADT,"55,364","57,083","58,216","56,027","57,178","57,540","55,329","55,408","56,984","55,929","56,492","53,652","56,255"
,,,,,AWT,"58,403","59,475","61,187","60,066","59,736","60,806","57,664","59,155","58,457","58,124","58,777","56,689","59,010"
,,,,,ADT Tu-Th,"58,247","59,638","61,460","60,505","59,728","60,833","57,990","59,285","58,807","58,210","59,032","56,051","59,103"
,,,,,ADT Sa,"54,513","56,469","56,691","55,588","56,062","56,442","53,626","52,079","57,170","53,865","56,974","54,381","55,332"
,,,,,ADT Su,"42,675","45,739","47,265","42,854","47,554","47,382","43,611","45,694","48,693","45,371","46,868","42,536","45,438"
222,PAYERNE N (AR),,FR,A 1,ADT,"20,399","21,786","22,307","24,748","24,659","26,801","26,817","27,386","25,934","24,278","21,896","21,669","24,067"
,,,,,AWT,"20,899","22,156","22,822","24,948","24,971","26,349","27,057","27,192","25,632","24,563","22,911","22,343","24,328"
,,,,,ADT Tu-Th,"20,439","21,585","22,480","24,698","24,780","25,397","26,575","26,820","25,028","23,971","22,674","21,760","23,888"
,,,,,ADT Sa,"22,422","22,950","22,723","25,588","24,182","28,668","27,298","28,328","27,908","24,359","21,002","22,241","24,748"
,,,,,ADT Su,"16,579","18,771","19,730","23,522","23,823","27,060","24,956","27,247","25,624","22,556","18,728","18,932","22,375"
224,"GENÈVE, PLAN-LES-OUAT. (AR)",,GE,A 1A,ADT,"41,970","44,133","44,398","42,614","45,379","45,057","41,951","38,810","43,897","45,877","46,399","42,095","43,533"
,,,,,AWT,"48,470","50,235","51,564","50,559","51,825","53,102","47,708","45,905","48,713","51,145","52,893","48,567","50,026"
,,,,,ADT Tu-Th,"49,122","50,810","52,338","50,791","53,126","53,790","48,412","46,510","49,128","51,428","53,377","48,119","50,516"
,,,,,ADT Sa,"32,726","34,274","34,777","33,127","35,810","35,682","29,562","29,977","36,005","36,040","40,454","35,947","34,587"
,,,,,ADT Su,"20,762","23,484","23,919","22,458","27,874","24,489","21,240","22,518","25,301","25,419","26,369","23,544","23,907"
225,"EGERKINGEN, VERZWEIGUNG A2 (AB)",,SO,A 2,ADT,"63,799","67,761","67,785","73,700","72,715","75,578","79,131","81,155","75,480","72,980","66,469","68,084","72,080"
,,,,,AWT,"65,725","69,301","69,893","75,640","74,283","76,578","79,405","80,946","75,544","74,132","69,016","70,060","73,391"
,,,,,ADT Tu-Th,"64,623","68,140","68,845","75,248","73,162","75,356","77,998","79,875","74,210","73,265","68,570","68,139","72,384"
,,,,,ADT Sa,"68,639","71,940","70,577","77,139","74,570","79,593","83,706","85,933","81,012","76,191","68,263","72,530","75,764"
,,,,,ADT Su,"51,455","55,883","56,142","64,942","64,276","69,569","72,978","77,871","69,592","63,143","54,484","58,203","63,361"
226,CRISSIER (AR),,VD,A 1,ADT,"109,243","118,138","119,589","120,045","122,293","124,085","121,483","119,626",,,"119,384","114,674",
,,,,,AWT,"116,593","124,833","127,722","128,738","129,025","131,641","127,408","126,678",,,"127,393","122,592",
,,,,,ADT Tu-Th,"115,153","123,988","127,169","127,662","129,875","133,676","126,263","124,958",,,"127,165","120,758",
,,,,,ADT Sa,"105,717","113,380","115,127","116,272","116,613","122,078","114,734","115,123",,,"117,523","112,912",
,,,,,ADT Su,"79,727","89,418","89,892","93,587","99,701","100,238","94,165","99,872",,,"89,212","88,133",
227,"OFENPASS, BUFFALORA",,GR,H 28,ADT,"1,014","1,034","1,072","1,615","1,939",,,,"2,732","2,229","1,102","1,155",
,,,,,AWT,904,961,"1,020","1,488","1,735",,,,"2,427","2,003","1,121","1,116",
,,,,,ADT Tu-Th,827,899,972,"1,437","1,601",,,,"2,189","1,852","1,048","1,038",
,,,,,ADT Sa,"1,636","1,317","1,179","1,687","2,192",,,,"3,268","2,808",917,"1,344",
,,,,,ADT Su,998,"1,116","1,182","1,992","2,541",,,,"3,876","2,953","1,213","1,167",
228,ZIZERS (AB),,GR,A 13,ADT,"45,670","50,183",,,,,,,,,,,
,,,,,AWT,"46,818","49,868",,,,,,,,,,,
,,,,,ADT Tu-Th,"44,651","47,357",,,,,,,,,,,
,,,,,ADT Sa,"46,653","55,900",,,,,,,,,,,
,,,,,ADT Su,"39,835","46,041",,,,,,,,,,,
229,OFTRINGEN E (AB),,AG,A 1,ADT,"67,399","72,786","75,618","75,824","77,004","76,957","73,189","76,475","78,612","77,193","76,040","71,316","74,863"
,,,,,AWT,"71,319","75,609","78,704","79,760","79,380","80,173","75,964","79,968","79,991","79,449","79,246","74,680","77,812"
,,,,,ADT Tu-Th,"71,413","75,717","79,117","79,790","79,666","79,668","75,850","79,426","79,848","79,123","79,518","74,125","77,727"
,,,,,ADT Sa,"66,151","73,230","76,017","75,162","77,526","77,051","70,654","74,626","81,039","76,384","77,514","71,434","74,862"
,,,,,ADT Su,"51,153","58,226","62,256","63,145","66,500","66,173","59,765","66,372","68,603","65,026","61,741","59,467","62,428"
230,HASLE-RUEGSAU W,,BE,H 23,ADT,"14,338","15,082","15,505","15,607","15,935","15,064","14,802","15,269","15,527","15,849","16,058","14,889","15,326"
,,,,,AWT,"15,755","16,374","16,976","17,182","17,311","16,515","15,984","16,925","16,496","16,890","17,487","16,442","16,682"
,,,,,ADT Tu-Th,"15,748","16,471","17,177","17,149","17,484","16,980","16,094","16,978","16,602","16,956","17,640","16,287","16,779"
,,,,,ADT Sa,"12,719","13,623","14,199","14,966","14,619","14,119","12,940","13,677","14,303","14,578","15,423","13,802","14,111"
,,,,,ADT Su,"9,402","10,078","10,629","10,785","11,466","10,857","9,869","11,075","11,422","11,135","10,977","10,177","10,662"
232,SAXON W (AR),,VS,A 9,ADT,"45,046","50,968","48,534","46,945","47,072","46,437","49,121","49,555","50,269","48,959","45,909","47,224","47,986"
,,,,,AWT,"47,104","51,990","50,172","49,326","50,021","49,333","51,681","51,468","51,896","51,074","49,363","49,374","50,245"
,,,,,ADT Tu-Th,"45,594","50,526","48,657","48,106","49,980","48,666","51,120","50,894","50,833","50,386","49,068","49,067","49,420"
,,,,,ADT Sa,"44,033","54,468","49,097","45,438","44,058","42,682","45,102","48,949","48,992","46,955","44,238","48,071","46,820"
,,,,,ADT Su,"36,801","42,360","41,092","40,012","37,695","39,288","38,422","43,686","42,598","38,800","33,764","39,132","39,470"
233,"ST-URSANNE, TUN. TERRI (AR)",,JU,A 16,ADT,"16,869","18,017","18,269","18,176","18,122","18,067","17,373","17,370","19,526","19,270","18,696","17,110","18,067"
,,,,,AWT,"19,459","20,579","21,127","20,997","20,570","20,774","19,244","19,683","21,656","21,427","21,587","19,481","20,542"
,,,,,ADT Tu-Th,"19,439","20,626","21,135","20,887","20,628","20,999","19,105","19,827","21,591","21,217","21,745","19,089","20,501"
,,,,,ADT Sa,"12,414","13,504","14,136","14,179","14,136","13,898","13,183","14,250","15,246","14,390","14,628","14,327","14,044"
,,,,,ADT Su,"9,038","9,724","10,396","11,439","11,827","11,822","10,804","12,260","12,088","11,746","11,198","10,669","11,115"
235,PIETERLEN W (AB),,BE,A 5,ADT,"25,244","27,207","28,217","28,671","29,275","29,492","27,392","28,349","28,817","28,901","28,678","25,932","28,011"
,,,,,AWT,"27,627","29,477","30,662","31,417","31,439","31,886","29,362","30,915","30,504","30,955","31,390","28,428","30,312"
,,,,,ADT Tu-Th,"27,562","29,532","30,788","31,446","31,503","31,791","29,418","30,738","30,500","30,865","31,500","28,152","30,290"
,,,,,ADT Sa,"23,405","25,101","26,826","27,212","27,872","27,955","24,891","26,154","27,254","26,134","27,515","25,191","26,354"
,,,,,ADT Su,"16,229","17,958","19,335","20,494","21,590","22,537","18,569","21,625","21,103","19,858","18,993","17,687","19,746"
237,GRENCHEN (AB),,SO,A 5,ADT,,,,,,,,,,"32,543","30,384","26,942",
,,,,,AWT,,,,,,,,,,"34,718","32,959","29,204",
,,,,,ADT Tu-Th,,,,,,,,,,"34,611","32,805","28,963",
,,,,,ADT Sa,,,,,,,,,,"29,059","29,111","26,256",
,,,,,ADT Su,,,,,,,,,,"23,517","21,357","19,483",
238,ROTHENBRUNNEN S (AB),,GR,A 13,ADT,"15,792","17,026","17,972","20,714","20,652","24,781","25,276","26,804","24,125","21,684","15,572","16,619","20,606"
,,,,,AWT,"15,732","16,453","17,610","20,230","20,200","23,711","24,222","25,554","23,166","20,900","16,400","16,713","20,101"
,,,,,ADT Tu-Th,"14,848","15,800","16,790","19,833","19,686","22,293","22,523","23,938","21,546","19,594","15,986","16,063","19,128"
,,,,,ADT Sa,"16,810","19,689","19,212","22,028","21,265","27,929","29,022","30,094","27,251","24,336","14,475","17,471","22,372"
,,,,,ADT Su,"15,241","17,228","18,251","21,449","21,936","26,247","27,591","28,229","26,273","23,535","13,354","15,721","21,205"
239,REIDEN S (AB),,LU,A 2,ADT,"45,446","51,025","53,607","58,617","59,574","61,646","64,536","67,616","63,094","59,652","54,600","53,117","57,746"
,,,,,AWT,"47,962","54,106","57,016","61,481","61,677","62,865","65,269","68,372","63,661","61,218","57,960","56,559","59,845"
,,,,,ADT Tu-Th,"47,475","54,188","57,017","61,233","61,354","62,089","64,284","67,323","62,655","60,640","57,974","56,345","59,442"
,,,,,ADT Sa,"42,997","47,697","50,710","58,831","59,417","63,562","67,242","69,822","66,009","60,612","53,604","52,259","57,781"
,,,,,ADT Su,"36,334","38,946","42,184","48,927","50,900","56,309","57,611","63,257","57,064","49,685","42,157","41,642","48,865"
240,"UMF. ZUERICH N, SEEBACH (AB)",,ZH,A 1C,ADT,,,,,,"123,642","111,240","113,262","112,366",,,,
,,,,,AWT,,,,,,"123,840","112,471","115,239","111,239",,,,
,,,,,ADT Tu-Th,,,,,,"122,280","111,890","113,192","109,281",,,,
,,,,,ADT Sa,,,,,,"129,716","113,680","116,062","123,104",,,,
,,,,,ADT Su,,,,,,"118,930","101,725","104,337","107,824",,,,
241,OPFIKON (AB),,ZH,A 11,ADT,"96,457","100,714","103,269","103,939","104,916","106,061","103,117","101,794","108,115","104,558","103,801","99,214","102,988"
,,,,,AWT,"100,964","104,826","107,834","110,062","108,960","111,105","106,714","106,995","110,882","107,348","107,317","104,377","107,252"
,,,,,ADT Tu-Th,"98,766","103,500","106,614","109,548","108,065","109,697","106,318","105,744","109,710","106,599","105,870","102,414","106,080"
,,,,,ADT Sa,"91,377","94,670","97,516","98,136","100,370","101,779","97,762","96,655","105,480","102,752","102,049","96,223","98,763"
,,,,,ADT Su,"80,691","86,202","89,852","87,394","92,475","92,101","87,794","88,740","95,530","90,323","91,487","83,137","88,669"
242,HEGNAU W (AB),,ZH,A 15,ADT,,,,,,,,,,,,"61,172",
,,,,,AWT,,,,,,,,,,,,"65,409",
,,,,,ADT Tu-Th,,,,,,,,,,,,"64,265",
,,,,,ADT Sa,,,,,,,,,,,,"60,699",
,,,,,ADT Su,,,,,,,,,,,,"46,658",
243,"ST. GALLEN E, BERGBACHVIADUKT (AB)",,SG,A 1,ADT,"62,100","66,303","66,103","65,923","67,179","68,101","64,084","72,194","80,034","78,673","65,325","63,085","68,257"
,,,,,AWT,"65,763","68,850","69,669","70,552","71,144","72,169","66,999","76,645","82,335","81,765","69,247","67,168","71,923"
,,,,,ADT Tu-Th,"64,867","68,467","68,878","70,109","71,093","71,468","66,403","76,196","80,960","81,173","68,814","65,681","71,186"
,,,,,ADT Sa,"60,569","67,877","64,613","61,841","63,402","64,124","60,331","68,195","79,890","75,499","63,364","62,809","65,954"
,,,,,ADT Su,"47,212","51,994","52,615","53,214","54,303","57,193","51,078","60,691","67,525","64,065","51,597","48,980","54,796"
244,REINACH BL (AB),,BL,A 18,ADT,"53,072","56,957","54,954","55,451","55,383","54,623","50,240","52,217","54,912","54,691","55,469","50,752","54,025"
,,,,,AWT,"59,902","63,447","61,671","63,701","61,660","62,494","55,758","60,065","59,914","59,822","62,407","57,296","60,592"
,,,,,ADT Tu-Th,"60,393","63,913","62,360","63,728","62,231","63,118","56,401","60,773","60,428","60,138","62,736","56,784","60,978"
,,,,,ADT Sa,"43,995","47,381","47,206","46,886","47,639","46,102","39,340","43,285","46,860","45,240","48,360","44,385","45,639"
,,,,,ADT Su,"30,283","34,086","34,493","33,662","36,761","34,068","29,408","33,498","35,456","34,635","34,826","32,094","33,601"
245,SARGANS A3 (AB),,SG,A 3,ADT,"51,255","56,250","53,433","50,931","50,799","54,199","54,270","55,853","54,344","52,656","47,906","51,849","52,794"
,,,,,AWT,"51,579","54,394","52,905","52,220","51,953","54,814","54,112","56,303","53,501","52,538","49,191","52,164","52,967"
,,,,,ADT Tu-Th,"48,718","51,310","50,721","51,547","51,173","53,172","52,527","54,149","51,304","50,490","47,956","49,971","51,091"
,,,,,ADT Sa,"55,355","67,151","57,400","51,999","50,684","54,276","57,941","56,671","58,392","55,613","48,338","54,797","55,530"
,,,,,ADT Su,"46,550","54,632","51,681","45,923","46,065","52,098","51,505","53,674","54,927","50,376","42,334","48,781","49,696"
246,"KREUZLINGEN, GIRSBAERGTUNNEL N (AB)",,TG,A 7,ADT,"12,180","12,866","13,147","14,062","14,204","14,219","14,882","14,750","14,677","14,843","14,221","13,632","13,979"
,,,,,AWT,"13,032","13,452","13,778","14,966","14,703","14,783","15,404","15,179","14,783","15,379","14,963","14,772","14,605"
,,,,,ADT Tu-Th,"12,989","13,365","13,718","14,769","14,306","14,483","15,286","14,926","14,583","15,304","14,864","14,108","14,416"
,,,,,ADT Sa,"14,212","15,190","15,145","16,623","16,166","16,980","16,996","16,530","18,246","17,250","16,815","15,903","16,324"
,,,,,ADT Su,"6,807","7,611","8,496","9,340","10,148","10,498","9,762","11,835","10,531","9,358","8,659","8,126","9,306"
247,ONNENS VD (AR),,VD,A 5,ADT,"18,796","20,586",,,,,,"21,396","21,809","21,430","21,179","20,003",
,,,,,AWT,"19,995","21,552",,,,,,"22,119","22,218","22,208","22,415","20,950",
,,,,,ADT Tu-Th,"19,852","21,485",,,,,,"21,901","22,373","22,074","22,491","20,788",
,,,,,ADT Sa,"17,783","19,872",,,,,,"20,858","21,975","20,530","20,573","20,300",
,,,,,ADT Su,"14,330","16,472",,,,,,"19,435","19,390","17,860","16,840","16,490",
248,"RHEINFELDEN, AUTOBAHNZUBRINGER A3",,AG,A 3,ADT,"30,579","32,499","32,491","35,150","34,352","34,740","36,339","37,787","38,139","38,104","35,725","34,786","35,069"
,,,,,AWT,"33,458","35,231","35,457","38,905","37,091","37,997","38,898","40,285","40,161","40,287","39,304","38,025","37,934"
,,,,,ADT Tu-Th,"33,611","35,169","35,496","38,592","36,578","37,492","38,452","39,604","39,626","40,137","39,132","36,819","37,606"
,,,,,ADT Sa,"30,320","31,539","31,583","33,918","32,295","33,466","33,301","35,720","37,390","37,184","33,932","35,559","33,814"
,,,,,ADT Su,"18,119","19,799","20,942","23,457","24,906","24,733","24,663","31,182","27,772","26,477","23,198","22,936","24,075"
249,COPPET W (AR),,VD,A 1,ADT,"73,494","80,402","81,351","82,305","82,109","86,013","85,831","81,884","84,204","84,840","81,263","78,452","81,840"
,,,,,AWT,"76,276","83,016","84,360","85,121","84,404","88,870","88,865","83,795","85,305","86,672","84,545","81,235","84,383"
,,,,,ADT Tu-Th,"74,196","81,691","83,452","84,847","85,786","88,127","87,976","82,397","83,911","85,907","83,619","78,859","83,452"
,,,,,ADT Sa,"72,592","79,014","78,873","81,930","79,723","82,795","84,414","81,361","83,680","83,095","79,672","78,306","80,412"
,,,,,ADT Su,"61,972","68,720","71,192","73,171","74,853","78,638","69,804","75,954","78,679","76,051","69,728","68,806","72,352"
250,AIGLE E (AR),,VD,A 9,ADT,"51,356","57,476","55,261","51,979","52,182","53,921","57,087","58,490","56,237","54,909","51,537","54,304","54,550"
